user_id,item_id,rating,persona_country,persona_color,persona_price,persona_abv
user_1,Albert Bichot Cremant de Bourgogne Brut Reserve,4,US,Sparkling & Champagne,medium,medium
user_1,19 Crimes The Banished Dark Red 2020,4,US,Sparkling & Champagne,medium,medium
user_1,Acinum Extra Dry Prosecco,4,US,Sparkling & Champagne,medium,medium
user_1,Adami Bosco di Gica Prosecco Superiore,5,US,Sparkling & Champagne,medium,medium
user_1,A Mano Primitivo 2019,3,US,Sparkling & Champagne,medium,medium
user_1,Achaval-Ferrer Quimera 2018,5,US,Sparkling & Champagne,medium,medium
user_2,Adami Garbel Brut Prosecco,4,US,Red Wine,high,medium
user_2,Acinum Extra Dry Prosecco,4,US,Red Wine,high,medium
user_2,19 Crimes Snoop Cali Red 2020,4,US,Red Wine,high,medium
user_2,Aalto 2019,4,US,Red Wine,high,medium
user_2,19 Crimes Cabernet Sauvignon 2020,4,US,Red Wine,high,medium
user_2,Adami Bosco di Gica Prosecco Superiore,4,US,Red Wine,high,medium
user_2,Aia Vecchia Lagone Toscana 2018,4,US,Red Wine,high,medium
user_3,Adami Bosco di Gica Prosecco Superiore,4,Italy,White Wine,high,high
user_3,A to Z Rose Bubbles,4,Italy,White Wine,high,high
user_3,Acinum Extra Dry Prosecco,3,Italy,White Wine,high,high
user_3,1924 Scotch Barrel Aged Chardonnay 2018,4,Italy,White Wine,high,high
user_3,19 Crimes Red Blend 2020,4,Italy,White Wine,high,high
user_3,Adriano Marco e Vittorio Sanadaive Barbaresco 2018,5,Italy,White Wine,high,high
user_3,12 Linajes Reserva 2012,4,Italy,White Wine,high,high
user_3,19 Crimes The Uprising 2020,4,Italy,White Wine,high,high
user_4,Alamos Red Blend 2020,5,Portugal,Red Wine,high,medium
user_4,Acinum Extra Dry Prosecco,3,Portugal,Red Wine,high,medium
user_4,14 Hands Cabernet Sauvignon 2018,4,Portugal,Red Wine,high,medium
user_4,19 Crimes Snoop Cali Red 2020,4,Portugal,Red Wine,high,medium
user_4,1000 Stories Bourbon Barrel Aged Gold Rush Red 2018,4,Portugal,Red Wine,high,medium
