user_id,item_id,rating,persona_country,persona_color,persona_price,persona_abv,variety,country_norm,color_simple,price_level,abv_level,ABV,Ratings,Ratingsnum,Prices
user_1,Albert Bichot Cremant de Bourgogne Brut Reserve,4,US,Sparkling & Champagne,medium,medium,"""Non-Vintage Sparkling Wine",France,Sparkling & Champagne,medium,medium,,3.9,25,26.99
user_1,19 Crimes The Banished Dark Red 2020,4,US,Sparkling & Champagne,medium,medium,Other Red Blends,Australia,Red Wine,low,medium,0.0,4.2,32,16.99
user_1,Acinum Extra Dry Prosecco,4,US,Sparkling & Champagne,medium,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,3.8,90,13.99
user_1,Adami Bosco di Gica Prosecco Superiore,5,US,Sparkling & Champagne,medium,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.3,142,19.99
user_1,A Mano Primitivo 2019,3,US,Sparkling & Champagne,medium,medium,"""Primitivo",US,Red Wine,low,medium,,3.0,8,14.99
user_1,Achaval-Ferrer Quimera 2018,5,US,Sparkling & Champagne,medium,medium,"""Bordeaux Red Blends",France,Red Wine,medium,medium,,4.2,18,39.99
user_2,Adami Garbel Brut Prosecco,4,US,Red Wine,high,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.1,72,15.99
user_2,Acinum Extra Dry Prosecco,4,US,Red Wine,high,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,3.8,90,13.99
user_2,19 Crimes Snoop Cali Red 2020,4,US,Red Wine,high,medium,Other Red Blends,US,Red Wine,low,medium,0.0,4.3,126,13.99
user_2,Aalto 2019,4,US,Red Wine,high,medium,"""Tempranillo",Spain,Red Wine,high,medium,,4.0,6,63.99
user_2,19 Crimes Cabernet Sauvignon 2020,4,US,Red Wine,high,medium,Cabernet Sauvignon,Australia,Red Wine,low,medium,0.0,3.9,68,10.99
user_2,Adami Bosco di Gica Prosecco Superiore,4,US,Red Wine,high,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.3,142,19.99
user_2,Aia Vecchia Lagone Toscana 2018,4,US,Red Wine,high,medium,"""Bordeaux Red Blends",France,Red Wine,low,medium,,3.8,35,17.99
user_3,Adami Bosco di Gica Prosecco Superiore,4,Italy,White Wine,high,high,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,4.3,142,19.99
user_3,A to Z Rose Bubbles,4,Italy,White Wine,high,high,Sparkling Rosé,US,Sparkling & Champagne,low,medium,12.5,3.9,48,18.99
user_3,Acinum Extra Dry Prosecco,3,Italy,White Wine,high,high,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,3.8,90,13.99
user_3,1924 Scotch Barrel Aged Chardonnay 2018,4,Italy,White Wine,high,high,Chardonnay,US,White Wine,low,high,14.5,3.7,8,15.99
user_3,19 Crimes Red Blend 2020,4,Italy,White Wine,high,high,Other Red Blends,Australia,Red Wine,low,medium,0.0,3.9,50,9.99
user_3,Adriano Marco e Vittorio Sanadaive Barbaresco 2018,5,Italy,White Wine,high,high,"""Nebbiolo",US,Red Wine,medium,medium,,4.4,59,31.99
user_3,12 Linajes Reserva 2012,4,Italy,White Wine,high,high,"""Tempranillo",Spain,Red Wine,medium,medium,,3.9,33,39.99
user_3,19 Crimes The Uprising 2020,4,Italy,White Wine,high,high,Other Red Blends,Australia,Red Wine,low,medium,0.0,4.1,41,11.99
user_4,Alamos Red Blend 2020,5,Portugal,Red Wine,high,medium,"""Other Red Blends",US,Red Wine,low,medium,,4.3,8,11.99
user_4,Acinum Extra Dry Prosecco,3,Portugal,Red Wine,high,medium,"""Non-Vintage Sparkling Wine",US,Sparkling & Champagne,low,medium,,3.8,90,13.99
user_4,14 Hands Cabernet Sauvignon 2018,4,Portugal,Red Wine,high,medium,"""Cabernet Sauvignon",US,Red Wine,low,medium,,3.7,31,11.99
